#separator:tab
#html:true
What are the 7 functions of political parties?	<ol><li>Representation&nbsp;</li><ol><li>Bring people with certain ideologies as an electoral unit.</li><li>MPs represent their constitutents</li><li>Outside interests - trade unions, businesses.&nbsp;</li></ol><li>Participation and mobolisation of the elctorate</li><ol><li>Canvassing, public meetings, <b>party membership</b></li><li>Electorate is given a&nbsp;<b>choice.&nbsp;</b></li><li>Communicates with the electorate<br></li></ol><li>Policy formulation&nbsp;</li><ol><li>Develop programmes of government through&nbsp;<b>manifesto proposals.&nbsp;</b></li></ol><li>Communication function</li><ol><li>Broadcasts, social media (momentum), podcasts (David Lammy on leading), Question Time,&nbsp;</li></ol><li>Electoral function&nbsp;</li><ol><li>Creates an electoral unit.&nbsp;</li></ol><li>Recruting office holders and forming government&nbsp;</li><ol><li>Creates stability due to the ideological unity.&nbsp;</li></ol><li><b>Opposition function</b></li><ol><li>PMQs, select committees.&nbsp;</li></ol></ol>
Evaluate the view that the UK is now a 'multi party system'.	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Disagree&nbsp;</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">Agree&nbsp;</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>1) UK is a <b>two&nbsp; party system - in Westminister.&nbsp;</b></li><li>New Labour reigned practically unchallenged between 1997 and 2010. Each election they won with landslide majorities - 180, 166, 66 seats.&nbsp;<br></li><li>Then Conservative party in power - have been in power for 13 years.&nbsp;</li><li>Quickly returned to business as usual, after 2015 general election - 12 seat majority on 36.9% of the vote.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>This does not take into account the increase in coalition government recently. - Might be more like a '<b>three party system</b>'</li><li>David Cameron was 20 seats short of an overall majority, so was forced to enter into a coalition with the liberal democrats.&nbsp;</li><li>Theresa May was 8 seats short off an overall majority, so she had to enter into a confidence and supply agreement with the DUP. This made the Brexit process even more difficult. She was unable to get her 'chequers deal' through.&nbsp;</li><li>Pressure from UKIP forced the Conservatives to lurch further to the right - they promised to reduce immigration to the 'tens of thousands'.&nbsp;</li><li>Likelihood of Westminister coalition is large - current polling statistics suggest that Starmer might have to enter into an agreement with the liberal democrats.&nbsp;</li><li>SNP have 48 seats in Westminister - third largest party.&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Distorting impact of FPTP means that the two main parties have an inbuilt advantage.&nbsp;</li><li>Machinery of FPTP means that smaller parties are kept out - e.g. in 2015, Lib Dems won 8% of the vote, and only 8 seats.&nbsp;</li><li>Labour won 30% of vote, 9.3 million votes and 232 seats<br></li><li>Ukip 3.9 million votes, 12% of the vote, but only one seat.&nbsp;</li><li>This therefore means main parties can win landslide majorities with plurality - e.g. 35.2% of the vote. 66 seat majority&nbsp; (2005)&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>This is very Westminister centric - the rest of the UK shows that a<b> multi party model</b>&nbsp;</li><li>Local elections saw the <b>Greens</b>&nbsp;have&nbsp; almost 481 council seats . Liberal democrats have 1,600.&nbsp;</li><li>The SNP have dominance over Scottish Politics - consistently been the largest party, won a majority in 2011.&nbsp;</li><li>Labour in coalition with Plaid Cymru.</li><li>Northern Ireland - Sinn Fein and the DUP and Alliance are the largest parties.&nbsp;</li><li><br></li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>One party reign for extended period of time - e.g.&nbsp;</li><li>Conservatives were in power from 1997-1979&nbsp;</li><li>New Labour were in power from 1997-2010.&nbsp;</li><li>Conservatives in power now since 2010.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>The rise of 'issue based' voting -&nbsp;</li><li>People no longer have 'allegiance' to a&nbsp;</li><li>single party, but are more likely to do 'issue based voting'</li><li>Emergence of new 'issue based' voting - UKIP Brexit issues. SNP Independence.&nbsp;</li><li>Partisan dealignment.&nbsp;</li></ul></td></tr></tbody></table><br><br><table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">head1</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">head2</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Distorting impact of FPTP means that the two main parties have an inbuilt advantage.&nbsp;</li><li>Machinery of FPTP means that smaller parties are kept out - e.g. in 2015, Lib Dems won 8% of the vote, and only 8 seats.&nbsp;</li><li>Labour won 30% of vote, 9.3 million votes and 232 seats<br></li><li>Ukip 3.9 million votes, 12% of the vote, but only one seat.&nbsp;</li><li>This therefore means main parties can win landslide majorities with plurality - e.g. 35.2% of the vote. 66 seat majority&nbsp; (2005)&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>However, despite the first past the post system, smaller parties have been able to gain ground in Westminister, which suggests that it is no longer a dominant party model&nbsp;</li><li>Out of the last 4 governments, 2 have needed the support of other parties.&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Dominant party model - The larger parties have the power to dominate over all other parties.&nbsp;</li><li>They have vast resources and power&nbsp;</li><li>Sheer organisational scope means that it is highly difficult to challenge their rule.</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>However this is rather diminishing as electorate no longer see the need to vote for either one or the other main party, but are more happy to deviate and support other parties that are not labour and conservative.&nbsp;</li><li>For example the rise of issue based voting has meant that&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Westminister dominance means that they have the power and resources to subdue and rule over the devolved bodies.&nbsp;</li><li>For example, Westminister were able to stop the SNPs Gender Recognition Bill from going through. The supreme court were able to prevent Scotland from holding indyref2 without the consent of the UK executive.&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Weak argument because parties in the devolved bodies have electoral systems that ensure party diversity and STV&nbsp;</li></ul></td></tr></tbody></table>"
What percent of 65+ voted Conservative in 2017?	"<ul><li><a href=""https://www.theguardian.com/politics/datablog/ng-interactive/2017/jun/20/young-voters-class-and-turnout-how-britain-voted-in-2017"">Over 60%</a></li><li><img src=""Age-01.png""><br></li></ul>"
Evaluate the view that leadership and party manifestos are the main reasons for a party's success or failure at a general election (30)	"<b></b><table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Other factors that influence party success&nbsp;<br>Media, wider political context, campaign, party unity</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">Party leadership and manifesto are the main reasons for party success</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>The press is able to set the agenda and for many people <a href=""https://www.independent.co.uk/news/uk/politics/election-voters-labour-tories-newspaper-readers-the-sun-daily-mail-times-independent-a7790166.html"">determines how they vote</a>.&nbsp;</li><li><i>Daily Mail</i>&nbsp;readers showed a clear preference for the Conservatives, with 79 per cent of its readers backing her compared to just 12 per cent who voted Labour</li><li><span style=""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);""><img src=""paste-ef036a06121a1fb76c641b2a83f9285cabf9ca9f.jpg""><br></span></li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>In spite of the Sun's recommendations, 30% voted for the Labour party in the 2017 general election.&nbsp;</li><li>Party leadership was more important - people voted for Corbyn in 2017 because they thought that he was electable.&nbsp;</li><li>People voted for Johnson because they hated Corbyn&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Party unity is a more influential factor - Corbyn lost election in 2019 because of constant infighting within the Labour party.&nbsp;</li><li>2010 General Election - Labour party was fractured over the financial crisis.&nbsp;</li><li>1997 general election - Tories were in chaos over Europe</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>However, might have been more likely due to policy factors.&nbsp;</li><li>People liked Corbyn's policies, whilst Theresa May's dementia tax.&nbsp;</li><li>Blair had a new vision for Britain, whilst the Tories were offering the same 'nasty party image'.&nbsp;</li></ul></td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>Wider political context - often voters are fed up with the party in power and want to kick them out. Their performance in government.&nbsp;</li><li>2010 expenses scandal&nbsp;</li><li>Black wednesday</li><li>War in the Falklands&nbsp;</li><li>Opec Crisis&nbsp;</li></ul></td><td style=""width:50%;  padding: 2px; border: 1px solid;""><ul><li>More likely to be determined on how a leader is percieved</li><li>Theresa May was seen as awkward and stiff, with a frustrated 'nothing has changed'</li><li>Meanwhile Corbyn had 'for the many'</li></ul></td></tr></tbody></table>"
How much did Thatcher reduce the top rate of income tax? How much did she increase VAT?	"<ul><li>She increased VAT from 8% to 15%.&nbsp;</li><li>But reduced the top rate of income tax <b><a href=""https://www.newstatesman.com/quickfire/2022/10/rishi-sunak-thatcherite-prime-minister-since-thatcher"">from 83% to 40%</a></b></li></ul>"
How much has Peter Cruddas donated in total? According to who?	"<ul><li>£<a href=""https://en.wikipedia.org/wiki/Peter_Cruddas,_Baron_Cruddas#:~:text=He%20donated%20£100%2C000%20in,donations%20topped%20£3%20million."">3 Million</a></li><li>The sunday times</li></ul>"
When did Corbyn lose a vote of no condience?&nbsp;	"<ul><li>In 2016</li><li><div>In June 2016 three quarters of Labour MPs in the House of Commons voted in favour of a motion of&nbsp;<a href=""http://researchbriefings.parliament.uk/ResearchBriefing/Summary/SN03938"">no confidence</a>&nbsp;in Mr Corbyn. 172 voted in favour, 40 voted against the motion, 4 spoilt their ballots, and 14 didn’t vote. A leadership challenge followed.</div><br></li><li><img src=""paste-f9c3767bbd63f24880f9eeb4c5acdaf5968bd6f4.jpg""><br></li></ul>"
Evaluate the view that the current Labour party has moved away from Old Labour	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:33%;  padding: 2px; border: 1px solid;""><br></th><th style=""width:33%;  padding: 2px; border: 1px solid;"">Still old labour</th><th style=""width:33%;  padding: 2px; border: 1px solid;"">Moved away from Old Labour</th></tr></thead>
                <tbody><tr><td style=""width:33%;  padding: 2px; border: 1px solid;"">Economic policy&nbsp;</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">• Wants to set up a publically owned green energy company&nbsp;<br>introduction of 'winfall taxes' on energy companies<br>• Agreed with the governemnt with bailouts and furlough during the pandemic.&nbsp;<br>• He ran on a left wing leadership campain&nbsp;<br>• Wants to establish a state owned energy company<br>• Corbynism is still hugely infuential within the labour party - Free broadband<br>• Starmer wants to have aproper industrial stratergy - spending £28bn a year on green investment. And&nbsp;</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">• Has begun his 'prawn cocktail offensive' - abandoned many of the pledges to nationalise and increase public spending&nbsp;<br>• U turned on tuition fees.&nbsp;<br>• Said that labour cannot solve problems with a 'big government cheque book'.<br>• Criticises conservative profligacy and excessive government borrowing. Wants to establish an independent 'office for&nbsp; value for money' to ensure that money was well spent.&nbsp;<br><br></td></tr><tr><td style=""width:33%;  padding: 2px; border: 1px solid;"">Social issues and welfare&nbsp;</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">• Still believes in social support for the poorest in society.&nbsp;<br>• Opposed the governments&nbsp; reversal of the £20 uplift in universal credit.&nbsp;<br>• Him and Wes Streeting plan to direct more long term funding in the NHS<br>• Pledge to increase council house building.&nbsp;</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">• Against strikes - he instructed the shadow cabinet not to go behind the picket lines&nbsp;<br>• Does not go so far as 'from cradle to the grave' ambition of old labour.&nbsp;<br>• Wes Streeting has said that there needs to be restructuring and 'efficiency savings' made in the NHS.&nbsp;</td></tr><tr><td style=""width:33%;  padding: 2px; border: 1px solid;"">Law and Order</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">Against the Rwanda policy&nbsp;<br>Against getting rid of the human rights act</td><td style=""width:33%;  padding: 2px; border: 1px solid;"">Wnant to show themselves as tough on law order and immigration&nbsp;<br>Does not oppose the public order bill.<br>Used to be the head of public prosecutions&nbsp;<br>Attack ad launched against Rishi Sunak&nbsp;<br><br></td></tr></tbody></table>"
How much does a peerage cost according to open democracy?	<ul><li>£3million</li></ul>
Evaluate the veiw that the UK does not have a multi party system.&nbsp;<br>	"<b></b><table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Does not have a multi party system&nbsp;</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">Does have a multi party system&nbsp;</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><b>Electoral system -&nbsp;</b>Emphasies the power of the two main parties in Westminister<br>Winners bonus means that they can win landslide majorities on a simple plurality of the vote</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">The rest of the country does not have FPTP<br>Scotland and Wales use AMS. Ireland use STV<br>SNP is now the third largest in Westminister, it won 48 seats in 2019.&nbsp;<br>Large diversity of parties suggest that the UK does have a multi party system&nbsp;</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;""><b>Financial resources -&nbsp;</b>The dominant party at the time gets to control other parties.&nbsp;<br>Conservatives recieved 20million before the 2019 general election. Labour recieved 5 million.&nbsp;<br>They have organisational power to dominate over other parties</td><td style=""width:50%;  padding: 2px; border: 1px solid;""><b>Despite this,&nbsp;</b>their power is not enough to overcome democracy.&nbsp;<br>They have to work now with other parties.&nbsp;<br>They still lose in other places. The Tories lost 1000 seats at the last local council election, whilst the greens won 200 seats.&nbsp;<br>They have to work with other parties in coalition.&nbsp;</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">data1</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">data2</td></tr></tbody></table>"
"How much did Ex Mubarak Minister Mohamed Monsour donate to the Tories?<br><img alt=""Mohamed Mansour"" src=""5103.jpg"">"	<ul><li>£5m</li></ul>
